method,round,n_seeds,test_acc_mean,test_acc_sd,test_loss_mean,test_loss_sd
FedAvg,31,3,0.5650522317188984,0.018022250905861965,1.2825460343902841,0.02678335112496277
FedAvg,32,3,0.3965540632207299,0.037665316800527426,1.5685516422404,0.12437960033996277
FedAvg,33,3,0.39623750734861846,0.023767001386129732,1.9456291347029917,0.15836218010407468
FedAvg,34,3,0.3172794283905395,0.02160015461757768,3.2246114741177205,0.3742390770140912
FedAvg,35,3,0.5782571338126894,0.01446257322009653,1.290757551338955,0.034710413889446984
FedAvg,36,3,0.5676299009632343,0.01934905409098488,1.2362823603714745,0.08076534672204237
FedAvg,37,3,0.5190611857278524,0.016755262026851205,1.3530721661695806,0.059356428879396135
FedAvg,38,3,0.4840591507258174,0.02985039628775254,1.5004497432891413,0.07510009617077455
FedAvg,39,3,0.49703794148238595,0.0052268412395456805,1.4518780612339985,0.04623410485577313
FedAvg,40,3,0.5180662958440736,0.032342901181390195,1.4036477171403916,0.1473182400379054
FedAvg,41,3,0.7034323700990368,0.011401662778156976,0.8915218060118238,0.03481312747614859
FedAvg,42,3,0.733098177542622,0.016564873972226613,0.782325014020212,0.03605849878291849
FedAvg,43,3,0.7472527472527473,0.01656968810468772,0.7372533448898962,0.0465450347931444
FedAvg,44,3,0.7212047212047212,0.016716770677991776,0.7775620691911863,0.05208568857414011
FedAvg,45,3,0.6876045764934654,0.08092684911906743,1.0181375128854955,0.2566775177517055
FedAvg,46,3,0.6971012526568082,0.044095328391363375,0.8817098534456962,0.12262057741996306
FedAvg,47,3,0.6030841586397142,0.028401168130515762,1.1626651455010133,0.13380557352185052
FedAvg,48,3,0.5646000090444535,0.07127781101106492,1.317869190740257,0.12790076917756807
FedAvg,49,3,0.6065210509654955,0.019334462998939452,1.1237918131574018,0.07413302552419092
FedRep,0,3,0.15086148419481754,0.014817522933862123,2.5252655272241125,0.06862838430244607
FedRep,1,3,0.12788857233301676,0.004795266546126371,2.75256692165059,0.0799096537962516
FedRep,2,3,0.1265319043096821,0.04492483474358914,2.578772877628507,0.25699148466741445
FedRep,3,3,0.1338579116356894,0.0367880574625671,2.630132133669722,0.22596217313985212
FedRep,4,3,0.13317957762402205,0.029803601469377314,2.6940714958343417,0.21408258685222714
FedRep,5,3,0.13150635372857594,0.022003688772190316,2.6250228670563476,0.21913021346453104
