seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
1,1,5,3,256,0,0.0001782999999999646,4.800000000138027e-06,9.999999992515995e-07,7.740000000033831e-05,2.3800000000129273e-05,2.7999999998584713e-06,0.00029119999999949187,192,3
1,1,6,3,256,0,0.00016950000000015564,4.89999999953028e-06,1.1000000004202093e-06,7.11000000004347e-05,2.4299999999755073e-05,2.899999999250724e-06,0.00027650000000001285,192,3
2,1,0,3,256,0,0.00015069999999983708,7.799999999669183e-06,1.699999999438262e-06,0.00011539999999943262,3.5999999999702936e-05,5.800000000277805e-06,0.00032309999999924344,192,4
2,1,1,3,256,0,0.00015769999999992734,5.800000000277805e-06,1.4999999997655777e-06,7.909999999977657e-05,2.3900000000409705e-05,4.299999999624049e-06,0.00027600000000038705,192,4
2,1,2,3,256,0,0.0001246000000003633,5.199999999483396e-06,1.1999999998124622e-06,8.080000000010301e-05,2.3399999999895726e-05,3.4000000006528808e-06,0.0002414999999995615,192,4
2,1,3,3,256,0,0.00013119999999933185,5.200000000371574e-06,1.2000000007006406e-06,7.849999999987034e-05,2.360000000045659e-05,3.1000000006997652e-06,0.0002456999999997933,192,4
2,1,4,3,256,0,0.00012270000000036418,5.00000000069889e-06,1.000000000139778e-06,7.570000000001187e-05,2.360000000045659e-05,3.000000000419334e-06,0.00023369999999989233,192,4
2,1,5,3,256,0,0.0001288000000005951,5.200000000371574e-06,1.0999999995320309e-06,9.570000000014289e-05,2.459999999970819e-05,3.9000000002786805e-06,0.0002631000000006267,192,4
2,1,6,3,256,0,0.0001250999999999891,5.300000000652005e-06,1.3000000000928935e-06,7.490000000043295e-05,2.3500000000176158e-05,3.099999999811587e-06,0.00023609999999951725,192,4
3,1,0,3,256,0,7.740000000033831e-05,5.00000000069889e-06,1.1999999998124622e-06,7.71000000003852e-05,2.239999999975595e-05,3.200000000092018e-06,0.00018950000000028666,192,4
3,1,1,3,256,0,8.300000000005525e-05,6.100000000230921e-06,1.1000000004202093e-06,8.279999999949439e-05,2.3200000000223042e-05,3.5000000000451337e-06,0.0002027000000000001,192,4
3,1,2,3,256,0,7.909999999977657e-05,4.999999999810711e-06,1.000000000139778e-06,7.420000000024629e-05,2.2899999999381748e-05,3.000000000419334e-06,0.0001879999999996329,192,4
3,1,3,3,256,0,7.669999999926347e-05,4.800000000138027e-06,9.999999992515995e-07,7.909999999977657e-05,2.2200000000083264e-05,3.200000000092018e-06,0.00018959999999967891,192,4
3,1,4,3,256,0,7.570000000001187e-05,5.00000000069889e-06,1.2000000007006406e-06,7.560000000061962e-05,2.250000000003638e-05,3.000000000419334e-06,0.00018579999999968067,192,4
